occurrenceID,scientificName,decimalLatitude,decimalLongitude,eventDate,vernacularName,rank,species,genus,family,order,class,phylum,kingdom,coordinateUncertaintyInMeters,geodeticDatum,basisOfRecord
848d454a-67f4-4462-b231-e96c54f62358,Acacia celsa,-17.26,145.46,2022-09-05,Brown Salwood,species,Acacia celsa,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
0571647a-6390-4369-ac66-6317cb36bfe4,Acronychia acidula,-17.26,145.46,2022-04-22,Silver Aspen,species,Acronychia acidula,Acronychia,Rutaceae,Sapindales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
6b4d37e6-cac5-47c4-931b-3461e8e6e43e,Aleurites rockinghamensis,-17.26,145.46,2022-07-21,Candlenut,species,Aleurites rockinghamensis,Aleurites,Euphorbiaceae,Malpighiales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
2d4326e0-6529-4cec-8ee0-fcab11013f85,Alphitonia petriei,-17.26,145.46,2022-03-11,White Ash,species,Alphitonia petriei,Alphitonia,Rhamnaceae,Rosales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
9a8ff4d5-0351-414d-84b0-70a3f014dfcd,Gillbeea adenopetala,-17.26,145.46,2022-02-15,Pink Alder,species,Gillbeea adenopetala,Gillbeea,Cunoniaceae,Oxalidales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
ee4b5ecd-fa30-40bf-8901-ad9542f76879,Litsea leefeana,-17.26,145.46,2022-05-11,Sycamore,species,Litsea leefeana,Litsea,Lauraceae,Laurales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
5447860f-bfd3-4721-86b3-13cf591a0ec6,Myrsine porosa,-17.26,145.46,2022-10-31,,species,Myrsine porosa,Myrsine,Primulaceae,Ericales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
f3e6a22b-9d08-4e8d-8d54-facbfb739cc3,Neolitsea dealbata,-17.26,145.46,2022-10-08,Grey Bollywood,species,Neolitsea dealbata,Neolitsea,Lauraceae,Laurales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
80bf703a-af53-476f-96eb-6df40abaa682,Polyscias australiana,-17.26,145.46,2022-10-26,Ivory Basswood,species,Polyscias australiana,Polyscias,Araliaceae,Apiales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
bec1f8a1-4b7c-4c3d-8543-541e07102c1c,Coprosma hirtella,-35.66,148.15,2022-03-04,Currant Bush,species,Coprosma hirtella,Coprosma,Rubiaceae,Gentianales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
f847a592-b672-4c4f-b437-f59db634d553,Daviesia latifolia,-35.66,148.15,2022-06-28,Hop Bitter-pea,species,Daviesia latifolia,Daviesia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
b5cffe2d-8a29-43ce-893e-6722d06b45b4,Eucalyptus delegatensis,-35.66,148.15,2022-01-22,Gum-topped Stringybark,species,Eucalyptus delegatensis,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
f0b14104-fb16-47ab-bd61-13ee80795238,Tasmannia lanceolata,-35.66,148.15,2022-06-24,Native Pepper,species,Tasmannia lanceolata,Tasmannia,Winteraceae,Canellales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
732817c6-86f8-4cc0-8b3d-cfdd2ddd0cd9,Eucalyptus miniata,-12.42,130.92,2022-10-28,Woollybutt,species,Eucalyptus miniata,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
a9fa7297-c4c9-4e85-a6a5-877a7b23ab30,Eucalyptus tetrodonta,-12.42,130.92,2022-06-21,Stringybark,species,Eucalyptus tetrodonta,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
e03c2e9e-d9e6-40c8-ac73-5f7f85b3189c,Planchonia careya,-12.42,130.92,2022-01-09,Cocky Apple,species,Planchonia careya,Planchonia,Lecythidaceae,Ericales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
8b572159-3e83-49ef-8cb6-713497f250e2,Syzygium suborbiculare,-12.42,130.92,2022-08-05,Apple,species,Syzygium suborbiculare,Syzygium,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
