occurrenceID,scientificName,decimalLatitude,decimalLongitude,eventDate,vernacularName,rank,species,genus,family,order,class,phylum,kingdom,coordinateUncertaintyInMeters,geodeticDatum,basisOfRecord
dc07a376-ce65-4fdc-b416-dca08984538b,Corymbia latifolia,-13.04,131.07,2022-03-29,Round-leaved Bloodwood,species,Corymbia latifolia,Corymbia,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
6b765f30-2f92-41c6-bd95-3c862b44ba70,Eucalyptus tectifica,-13.04,131.07,2022-09-13,Grey Box,species,Eucalyptus tectifica,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
9b980b65-ff59-40ac-943a-7ca724dabf2f,Banksia aemula,-33.6,150.72,2022-08-15,Banyalla,species,Banksia aemula,Banksia,Proteaceae,Proteales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
d7f32233-04d7-47f9-af92-03a15b1a5a58,Eucalyptus racemosa,-33.6,150.72,2022-06-16,Scribbly Gum,species,Eucalyptus racemosa,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
87ec8ab2-a233-4f59-8588-f91860ff7fcd,Persoonia laurina,-33.6,150.72,2022-10-19,,species,Persoonia laurina,Persoonia,Proteaceae,Proteales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
f15241a4-6fd4-490e-a35f-3d49e96d4c5f,Acacia aneura,-22.35,133.33,2022-10-11,Mulga,species,Acacia aneura,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
7520d69a-7e8f-4919-a823-fe94da9cdb04,Acacia cambagei,-22.35,133.33,2022-08-23,Gidgee,species,Acacia cambagei,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
6cb93cdc-8c45-4123-9764-a08a6b3a5a66,Acacia dictyophleba,-22.35,133.33,2022-01-11,Waxy Wattle,species,Acacia dictyophleba,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
364ab34c-19a2-4857-973f-04e53e6a5f32,Acacia estrophiolata,-22.35,133.33,2022-07-10,Southern Ironwood,species,Acacia estrophiolata,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
457367d0-224c-4979-a886-64ce12fafb0b,Acacia kempeana,-22.35,133.33,2022-07-18,Witchetty Bush,species,Acacia kempeana,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
017a9202-ff8b-46e6-8253-b5e3a06f1b93,Acacia melleodora,-22.35,133.33,2022-04-25,Scented Wax Wattle,species,Acacia melleodora,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
b44afa19-fad1-4d11-8af2-2fcc05499db4,Acacia murrayana,-22.35,133.33,2022-12-15,Murray's Wattle,species,Acacia murrayana,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
d2d9f83d-b1d5-42ad-b61f-794851a46f45,Corymbia opaca,-22.35,133.33,2022-02-06,Desert Bloodwood,species,Corymbia opaca,Corymbia,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
22e86e2b-5fda-4303-95fc-914ae60e3a1c,Corymbia terminalis,-22.35,133.33,2022-04-21,Bloodwood,species,Corymbia terminalis,Corymbia,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
d31499a8-d0c2-46ac-807a-947c2afe10ba,Eremophila latrobei,-22.35,133.33,2022-01-30,Crimson Turkey Bush,species,Eremophila latrobei,Eremophila,Scrophulariaceae,Lamiales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
543b6422-4bac-4354-baed-39ced5d0e392,Eucalyptus camaldulensis,-22.35,133.33,2022-03-30,Flooded Gum,species,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
d4505551-c886-4bae-a5aa-f1af56cacd8c,Eucalyptus camaldulensis subsp. obtusa,-22.35,133.33,2022-07-25,Yumu,subspecies,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
92524027-2ee1-4979-8109-0a06e09b605c,Hakea leucoptera,-22.35,133.33,2022-03-11,Needlebush,species,Hakea leucoptera,Hakea,Proteaceae,Proteales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
853ef872-0fbf-4a0a-bd44-7b741866c93c,Hakea macrocarpa,-22.35,133.33,2022-07-28,,species,Hakea macrocarpa,Hakea,Proteaceae,Proteales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
313347cc-b7be-4222-90f3-f1142083d53a,Psydrax latifolia,-22.35,133.33,2022-03-06,,species,Psydrax latifolia,Psydrax,Rubiaceae,Gentianales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
