occurrenceID,scientificName,decimalLatitude,decimalLongitude,eventDate,vernacularName,genus,family,order,class,phylum,kingdom,coordinateUncertaintyInMeters,geodeticDatum,basisOfRecord
1b3d358a-35ee-4220-89a9-8afc15e4357d,Myrsine porosa,-17.26,145.46,2022-10-31,,Myrsine,Primulaceae,Ericales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
c3222879-b1c4-4f8a-8398-1e1eb0c8eadf,Neolitsea dealbata,-17.26,145.46,2022-10-08,Grey Bollywood,Neolitsea,Lauraceae,Laurales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
7cef5ff8-4931-42ce-be42-11435c6f2a8b,Polyscias australiana,-17.26,145.46,2022-10-26,Ivory Basswood,Polyscias,Araliaceae,Apiales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
3712d793-58cb-43fa-8cf9-adec2bd5ca46,Coprosma hirtella,-35.66,148.15,2022-03-04,Currant Bush,Coprosma,Rubiaceae,Gentianales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
4d822d57-867c-4aaf-b91a-70518988a618,Daviesia latifolia,-35.66,148.15,2022-06-28,Hop Bitter-pea,Daviesia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
28c8b63b-20a0-43ca-86f5-be85bd360166,Eucalyptus delegatensis,-35.66,148.15,2022-01-22,Gum-topped Stringybark,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
553b27c9-7bf5-4e8d-9cd9-32624108e9d7,Tasmannia lanceolata,-35.66,148.15,2022-06-24,Native Pepper,Tasmannia,Winteraceae,Canellales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
73def26a-f0ce-4591-94e8-1a65aaea77ee,Eucalyptus miniata,-12.42,130.92,2022-10-28,Woollybutt,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
4d6d8826-a58b-42eb-8670-5c7948b28400,Eucalyptus tetrodonta,-12.42,130.92,2022-06-21,Stringybark,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
91699190-69b4-4b50-a984-a7af92983702,Planchonia careya,-12.42,130.92,2022-01-09,Cocky Apple,Planchonia,Lecythidaceae,Ericales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
c2951e15-0690-4058-938b-c1d4925b89c8,Syzygium suborbiculare,-12.42,130.92,2022-08-05,Apple,Syzygium,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
