occurrenceID,scientificName,decimalLatitude,decimalLongitude,eventDate,vernacularName,genus,family,order,class,phylum,kingdom,coordinateUncertaintyInMeters,geodeticDatum,basisOfRecord
c8e6efa6-9ba6-4223-a177-d43521042cf1,Litsea leefeana,-17.26,145.46,2022-05-11,Sycamore,Litsea,Lauraceae,Laurales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
5af95700-bc01-49f5-bff6-bd2a5f0b4f6d,Myrsine porosa,-17.26,145.46,2022-10-31,Northern Muttonwood,Myrsine,Primulaceae,Ericales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
33ee248c-2196-4b03-938c-c93601b6bc4d,Neolitsea dealbata,-17.26,145.46,2022-10-08,White Bolly Gum,Neolitsea,Lauraceae,Laurales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
67054e30-2316-4275-afd5-9bc13f278014,Polyscias australiana,-17.26,145.46,2022-10-26,Ivory Basswood,Polyscias,Araliaceae,Apiales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
52acca98-6454-4b82-8766-b41b4f1acc66,Coprosma hirtella,-35.66,148.15,2022-03-04,Rough Coffee-berry,Coprosma,Rubiaceae,Gentianales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
8ccf827d-8919-4297-ab72-86918930bb15,Daviesia latifolia,-35.66,148.15,2022-06-28,Hop Bitter-pea,Daviesia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
7e9c569b-75b8-4567-b085-ea599b81e226,Eucalyptus delegatensis,-35.66,148.15,2022-01-22,Woollybutt,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
beb0f08e-3fab-41b9-ac70-9e6c9251bb3e,Tasmannia lanceolata,-35.66,148.15,2022-06-24,Mountain Pepperbush,Tasmannia,Winteraceae,Canellales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
d6b3882b-c238-4204-ba8c-3adf1b761eab,Eucalyptus miniata,-12.42,130.92,2022-10-28,Darwin Woollybutt,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
5ccf7629-4989-418a-93fc-4f2bd96b05c7,Eucalyptus tetrodonta,-12.42,130.92,2022-06-21,Darwin Stringybark,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
