site_code,year,depth,water_type,log_size,veg_aqu,veg_canopy,veg_bank,pc_urban,pc_canopy,cpar,csig,limdum,limper,limtas,lper,lver,ulae
ANU020,2007,deep,still,2.155046701,2,1,2,0.154,0.1607,0,0,0,0,0,0,0,0
ANU020,2012,deep,still,2.155046701,2,1,2,0.1533,0.1253,1,0,0,0,0,0,0,0
ANU020,2007,deep,still,2.155046701,2,1,2,0.154,0.1607,0,0,1,1,0,0,0,0
ANU020,2006,deep,still,2.155046701,2,1,2,0.146,0.148,0,0,0,1,0,0,0,0
ANU020,2006,deep,still,2.155046701,2,1,2,0.146,0.148,0,0,0,0,0,0,0,0
ANU020,2011,deep,still,2.155046701,2,1,2,0.152,0.1473,0,0,0,0,1,0,0,0
ANU020,2009,deep,still,2.155046701,2,1,2,0.1467,0.1973,0,0,0,1,0,0,0,0
ANU020,2009,deep,still,2.155046701,2,1,2,0.1467,0.1973,0,0,0,1,0,0,0,0
ANU020,2013,deep,still,2.155046701,2,1,2,0.178,0.124,0,0,0,0,0,0,0,0
ANU020,2011,deep,still,2.155046701,2,1,2,0.152,0.1473,0,0,0,0,0,0,0,0
ANU020,2013,deep,still,2.155046701,2,1,2,0.178,0.124,0,1,0,0,0,0,0,0
ANU020,2005,deep,still,2.155046701,2,1,2,0.1433,0.1567,0,0,1,1,0,0,0,0
ANU020,2013,deep,still,2.155046701,2,1,2,0.178,0.124,0,1,1,1,0,0,0,0
ANU020,2014,deep,still,2.155046701,2,1,2,0.1387,0.1187,0,0,0,1,0,0,0,0
ANU020,2010,deep,still,2.155046701,2,1,2,0.1393,0.1473,0,0,0,0,0,0,0,0
ANU020,2006,deep,still,2.155046701,2,1,2,0.146,0.148,0,0,0,0,0,0,0,0
ANU020,2006,deep,still,2.155046701,2,1,2,0.146,0.148,0,0,0,1,0,0,0,0
ANU020,2010,deep,still,2.155046701,2,1,2,0.1393,0.1473,0,0,0,0,0,0,0,0
ANU020,2005,deep,still,2.155046701,2,1,2,0.1433,0.1567,0,0,0,1,0,0,0,0
ANU020,2005,deep,still,2.155046701,2,1,2,0.1433,0.1567,0,0,0,0,0,0,0,0
ANU020,2005,deep,still,2.155046701,2,1,2,0.1433,0.1567,0,0,0,0,0,0,0,0
ANU022,2011,shallow,moving,0.95724802,2,0,1,0.1907,0.1033,1,0,0,0,0,0,0,0
ANU022,2011,shallow,moving,0.95724802,2,0,1,0.1907,0.1033,1,0,0,0,0,0,0,0
ANU022,2014,shallow,moving,0.95724802,2,0,1,0.1733,0.0873,0,0,0,1,1,0,0,0
ANU022,2006,shallow,moving,0.95724802,2,0,1,0.188,0.09,0,0,0,0,0,0,0,0
ANU022,2005,shallow,moving,0.95724802,2,0,1,0.182,0.112,0,1,0,0,1,0,0,0
ANU022,2010,shallow,moving,0.95724802,2,0,1,0.1867,0.096,0,0,0,0,0,0,0,0
ANU022,2014,shallow,moving,0.95724802,2,0,1,0.1733,0.0873,0,0,0,0,0,0,0,0
ANU022,2007,shallow,moving,0.95724802,2,0,1,0.1927,0.1113,0,0,0,1,0,0,0,0
ANU022,2012,shallow,moving,0.95724802,2,0,1,0.1967,0.1007,0,1,0,0,0,0,0,1
ANU022,2013,shallow,moving,0.95724802,2,0,1,0.21,0.098,0,0,0,0,0,0,0,0
ANU022,2005,shallow,moving,0.95724802,2,0,1,0.182,0.112,0,0,0,0,0,0,0,0
