occurrenceID,scientificName,decimalLatitude,decimalLongitude,eventDate,vernacularName,genus,family,order,class,phylum,kingdom,coordinateUncertaintyInMeters,geodeticDatum,basisOfRecord
c41d9b75-63e1-4ca8-a068-79b8c4db615c,Litsea leefeana,-17.26,145.46,2022-05-11,Sycamore,Litsea,Lauraceae,Laurales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
79c3a49d-9aaf-4eab-b9fe-18f276102cf5,Myrsine porosa,-17.26,145.46,2022-10-31,,Myrsine,Primulaceae,Ericales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
a18fa36d-4c56-46cf-b331-693be357632f,Neolitsea dealbata,-17.26,145.46,2022-10-08,Grey Bollywood,Neolitsea,Lauraceae,Laurales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
b62f4355-5bd9-4c3c-baa7-3660b893feab,Polyscias australiana,-17.26,145.46,2022-10-26,Ivory Basswood,Polyscias,Araliaceae,Apiales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
d45b0fc5-3606-4ce4-9b98-637201ab7e47,Coprosma hirtella,-35.66,148.15,2022-03-04,Currant Bush,Coprosma,Rubiaceae,Gentianales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
c4bf6797-7087-4524-bea7-cc69bd173d4c,Daviesia latifolia,-35.66,148.15,2022-06-28,Hop Bitter-pea,Daviesia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
a7056941-4c44-4593-97ff-924fa0a6e1ca,Eucalyptus delegatensis,-35.66,148.15,2022-01-22,Gum-topped Stringybark,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
be8de0ce-4db9-412e-9562-a5a3bc6b24b4,Tasmannia lanceolata,-35.66,148.15,2022-06-24,Native Pepper,Tasmannia,Winteraceae,Canellales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
09720214-abe0-4c21-b88c-138e9ff77d4d,Eucalyptus miniata,-12.42,130.92,2022-10-28,Woollybutt,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
02b459d7-0df0-43bd-820f-50e2f9632d22,Eucalyptus tetrodonta,-12.42,130.92,2022-06-21,Stringybark,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
99fbd928-ff84-4e12-ad67-0c7c6335d13e,Planchonia careya,-12.42,130.92,2022-01-09,Cocky Apple,Planchonia,Lecythidaceae,Ericales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
339af39d-4925-4075-b52b-bb26b3c6c6f4,Syzygium suborbiculare,-12.42,130.92,2022-08-05,Apple,Syzygium,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
