Term Name,Label,Term IRI,Term version IRI,Modified,Definition,Type,Used,Note,Replacement
dwc:tribe,Tribe,http://rs.tdwg.org/dwc/terms/tribe,http://rs.tdwg.org/dwc/terms/version/tribe-2023-06-28,2023-06-28,The full scientific name of the tribe in which the dwc:Taxon is classified.,Property,True,,
dwc:typeStatus,Type Status,http://rs.tdwg.org/dwc/terms/typeStatus,http://rs.tdwg.org/dwc/terms/version/typeStatus-2023-06-28,2023-06-28,"A list (concatenated and separated) of nomenclatural types (type status, typified scientific name, publication) applied to the subject.",Property,True,,http://rs.tdwg.org/dwc/curatorial/TypeStatus
dwc:verbatimCoordinateSystem,Verbatim Coordinate System,http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem,http://rs.tdwg.org/dwc/terms/version/verbatimCoordinateSystem-2023-06-28,2023-06-28,The coordinate format for the dwc:verbatimLatitude and dwc:verbatimLongitude or the dwc:verbatimCoordinates of the dcterms:Location.,Property,True,,http://rs.tdwg.org/dwc/geospatial/VerbatimCoordinateSystem
dwc:verbatimCoordinates,Verbatim Coordinates,http://rs.tdwg.org/dwc/terms/verbatimCoordinates,http://rs.tdwg.org/dwc/terms/version/verbatimCoordinates-2023-06-28,2023-06-28,"The verbatim original spatial coordinates of the dcterms:Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in dwc:verbatimSRS and the coordinate system should be stored in dwc:verbatimCoordinateSystem.",Property,True,,http://rs.tdwg.org/dwc/geospatial/VerbatimCoordinates
dwc:verbatimDepth,Verbatim Depth,http://rs.tdwg.org/dwc/terms/verbatimDepth,http://rs.tdwg.org/dwc/terms/version/verbatimDepth-2017-10-06,2017-10-06,The original description of the depth below the local surface.,Property,True,,http://rs.tdwg.org/dwc/curatorial/VerbatimDepth
dwc:verbatimElevation,Verbatim Elevation,http://rs.tdwg.org/dwc/terms/verbatimElevation,http://rs.tdwg.org/dwc/terms/version/verbatimElevation-2017-10-06,2017-10-06,"The original description of the elevation (altitude, usually above sea level) of the Location.",Property,True,,http://rs.tdwg.org/dwc/curatorial/VerbatimElevation
dwc:verbatimEventDate,Verbatim EventDate,http://rs.tdwg.org/dwc/terms/verbatimEventDate,http://rs.tdwg.org/dwc/terms/version/verbatimEventDate-2023-06-28,2023-06-28,The verbatim original representation of the date and time information for a dwc:Event.,Property,True,,http://rs.tdwg.org/dwc/curatorial/VerbatimCollectingDate
dwc:verbatimIdentification,Verbatim Identification,http://rs.tdwg.org/dwc/terms/verbatimIdentification,http://rs.tdwg.org/dwc/terms/version/verbatimIdentification-2023-06-28,2023-06-28,A string representing the taxonomic identification as it appeared in the original record.,Property,True,,
dwc:verbatimLabel,Type:,http://rs.tdwg.org/dwc/terms/verbatimLabel,http://rs.tdwg.org/dwc/terms/version/verbatimLabel-2023-06-28,2023-06-28,"A serialized encoding intended to represent the literal, i.e., character by character, textual content of a label affixed on, near, or explicitly associated with a material entity, free from interpretation, translation, or transliteration.",Property,True,,
dwc:verbatimLatitude,Verbatim Latitude,http://rs.tdwg.org/dwc/terms/verbatimLatitude,http://rs.tdwg.org/dwc/terms/version/verbatimLatitude-2023-06-28,2023-06-28,"The verbatim original latitude of the dcterms:Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in dwc:verbatimSRS and the coordinate system should be stored in dwc:verbatimCoordinateSystem.",Property,True,,http://rs.tdwg.org/dwc/geospatial/VerbatimLatitude
dwc:verbatimLocality,Verbatim Locality,http://rs.tdwg.org/dwc/terms/verbatimLocality,http://rs.tdwg.org/dwc/terms/version/verbatimLocality-2021-07-15,2021-07-15,The original textual description of the place.,Property,True,,
dwc:verbatimLongitude,Verbatim Longitude,http://rs.tdwg.org/dwc/terms/verbatimLongitude,http://rs.tdwg.org/dwc/terms/version/verbatimLongitude-2023-06-28,2023-06-28,"The verbatim original longitude of the dcterms:Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in dwc:verbatimSRS and the coordinate system should be stored in dwc:verbatimCoordinateSystem.",Property,True,,http://rs.tdwg.org/dwc/geospatial/VerbatimLongitude
dwc:verbatimSRS,Verbatim SRS,http://rs.tdwg.org/dwc/terms/verbatimSRS,http://rs.tdwg.org/dwc/terms/version/verbatimSRS-2023-06-28,2023-06-28,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which coordinates given in dwc:verbatimLatitude and dwc:verbatimLongitude, or dwc:verbatimCoordinates are based.",Property,True,,
dwc:verbatimScientificNameRank,Verbatim Scientific Name Rank,http://rs.tdwg.org/dwc/terms/verbatimScientificNameRank,http://rs.tdwg.org/dwc/terms/version/verbatimScientificNameRank-2009-07-06,2009-09-21,The taxonomic rank of the most specific name in the scientificName as it appears in the original record.,Property,False,This term is no longer recommended for use.,
dwc:verbatimTaxonRank,Verbatim Taxon Rank,http://rs.tdwg.org/dwc/terms/verbatimTaxonRank,http://rs.tdwg.org/dwc/terms/version/verbatimTaxonRank-2023-06-28,2023-06-28,The taxonomic rank of the most specific name in the dwc:scientificName as it appears in the original record.,Property,True,,http://rs.tdwg.org/dwc/terms/verbatimScientificNameRank
dwc:vernacularName,Vernacular Name,http://rs.tdwg.org/dwc/terms/vernacularName,http://rs.tdwg.org/dwc/terms/version/vernacularName-2023-06-28,2023-06-28,A common or vernacular name.,Property,True,,
dwc:verticalDatum,Vertical Datum,http://rs.tdwg.org/dwc/terms/verticalDatum,http://rs.tdwg.org/dwc/terms/version/verticalDatum-2023-06-28,2023-06-28,The vertical datum used as the reference upon which the values in the elevation terms are based.,Property,Type:,,
dwc:vitality,Vitality,http://rs.tdwg.org/dwc/terms/vitality,http://rs.tdwg.org/dwc/terms/version/vitality-2023-06-28,2023-06-28,An indication of whether a dwc:Organism was alive or dead at the time of collection or observation.,Property,True,,
dwc:waterBody,Water Body,http://rs.tdwg.org/dwc/terms/waterBody,http://rs.tdwg.org/dwc/terms/version/waterBody-2023-06-28,2023-06-28,The name of the water body in which the dcterms:Location occurs.,Property,True,,http://rs.tdwg.org/dwc/dwcore/WaterBody
dwc:year,Year,http://rs.tdwg.org/dwc/terms/year,http://rs.tdwg.org/dwc/terms/version/year-2023-06-28,2023-06-28,"The four-digit year in which the dwc:Event occurred, according to the Common Era Calendar.",Property,True,,http://digir.net/schema/conceptual/darwin/2003/1.0/YearCollected
dcterms:language,Language,http://purl.org/dc/terms/language,,2008-01-14,A language of the resource.,Property,True,,
dcterms:license,License,http://purl.org/dc/terms/license,,2023-06-28,A legal document giving official permission to do something with the resource.,Property,True,,http://purl.org/dc/terms/rights
dcterms:modified,Date Modified,http://purl.org/dc/terms/modified,,2023-06-28,The most recent date-time on which the resource was changed.,Property,True,,
dcterms:references,References,http://purl.org/dc/terms/references,,2023-06-28,"A related resource that is referenced, cited, or otherwise pointed to by the described resource.",Property,True,,
dcterms:rights,Rights,http://purl.org/dc/terms/rights,,2008-01-14,Information about rights held in and over the resource.,Property,False,This term is no longer recommended for use.,
dcterms:rightsHolder,Rights Holder,http://purl.org/dc/terms/rightsHolder,,2008-01-14,A person or organization owning or managing rights over the resource.,Property,True,,
dcterms:type,Type,http://purl.org/dc/terms/type,,2008-01-14,The nature or genre of the resource.,Property,False,This term is no longer recommended for use.,
