Term Name,Label,Term IRI,Term version IRI,Modified,Definition,Type,Used,Note,Replacement
dwc:SampleAttributeDeterminedDate,Sample Attribute Determined Date,http://rs.tdwg.org/dwc/terms/SampleAttributeDeterminedDate,http://rs.tdwg.org/dwc/terms/version/SampleAttributeDeterminedDate-2009-01-23,2009-04-29,The date on which the the measurement or characteristic of the sample was made.,Property,False,This term is no longer recommended for use.,
dwc:SampleAttributeRemarks,Sample Attribute Remarks,http://rs.tdwg.org/dwc/terms/SampleAttributeRemarks,http://rs.tdwg.org/dwc/terms/version/SampleAttributeRemarks-2008-11-19,2009-04-29,Comments or notes accompanying the measurement or characteristic of the sample.,Property,False,This term is no longer recommended for use.,
dwc:SampleAttributeUnit,Sample Attribute Unit,http://rs.tdwg.org/dwc/terms/SampleAttributeUnit,http://rs.tdwg.org/dwc/terms/version/SampleAttributeUnit-2008-11-19,2009-04-29,The units for the value of the measurement or characteristic of the sample. Recommended best practice is to use International System of Units (SI) units.,Property,False,This term is no longer recommended for use.,
dwc:SampleAttributeValue,Sample Attribute Value,http://rs.tdwg.org/dwc/terms/SampleAttributeValue,http://rs.tdwg.org/dwc/terms/version/SampleAttributeValue-2008-11-19,2009-04-29,The value of the measurement or characteristic of the sample.,Property,False,This term is no longer recommended for use.,
dwc:SampleRemarks,Sample Remarks,http://rs.tdwg.org/dwc/terms/SampleRemarks,http://rs.tdwg.org/dwc/terms/version/SampleRemarks-2009-01-18,2009-04-29,Comments or notes about the sample or record.,Property,False,This term is no longer recommended for use.,http://rs.tdwg.org/dwc/dwcore/Remarks
dwc:SamplingAttributeID,Sample Attribute ID,http://rs.tdwg.org/dwc/terms/SamplingAttributeID,http://rs.tdwg.org/dwc/terms/version/SamplingAttributeID-2008-11-19,2009-04-29,An identifier for the sampling attribute. May be a global unique identifier or an identifier specific to the data set.,Property,False,This term is no longer recommended for use.,
dwc:SamplingAttributeType,Sample Attribute Type,http://rs.tdwg.org/dwc/terms/SamplingAttributeType,http://rs.tdwg.org/dwc/terms/version/SamplingAttributeType-2008-11-19,2009-04-29,The nature of the measurement or characteristic of the sample. Recommended best practice is to use a controlled vocabulary.,Property,False,This term is no longer recommended for use.,http://rs.tdwg.org/dwc/terms/SampleAttributeType
dwc:SamplingEvent,Sampling Event,http://rs.tdwg.org/dwc/terms/SamplingEvent,http://rs.tdwg.org/dwc/terms/version/SamplingEvent-2008-11-19,2009-04-29,Container class for information about the conditions and methods of acquisition of samples.,Class,False,This term is no longer recommended for use.,
dwc:SamplingEventAttributes,Sampling Event Attributes,http://rs.tdwg.org/dwc/terms/SamplingEventAttributes,http://rs.tdwg.org/dwc/terms/version/SamplingEventAttributes-2008-11-19,2009-04-29,A list (concatenated and separated) of additional measurements or characteristics of the sampling event.,Property,False,This term is no longer recommended for use.,
dwc:SamplingEventID,Sampling Event ID,http://rs.tdwg.org/dwc/terms/SamplingEventID,http://rs.tdwg.org/dwc/terms/version/SamplingEventID-2008-11-19,2009-04-29,An identifier for the sampling event. May be a global unique identifier or an identifier specific to the data set.,Property,False,This term is no longer recommended for use.,
dwc:SamplingEventRemarks,Sampling Event Remarks,http://rs.tdwg.org/dwc/terms/SamplingEventRemarks,http://rs.tdwg.org/dwc/terms/version/SamplingEventRemarks-2009-01-18,2009-04-29,Comments or notes about the sampling event.,Property,False,This term is no longer recommended for use.,
dwc:SamplingLocation,Sampling Location,http://rs.tdwg.org/dwc/terms/SamplingLocation,http://rs.tdwg.org/dwc/terms/version/SamplingLocation-2008-11-19,2009-04-29,Container class for information about the location where a sampling event occurred.,Class,False,This term is no longer recommended for use.,
dwc:SamplingLocationID,Sampling Location ID,http://rs.tdwg.org/dwc/terms/SamplingLocationID,http://rs.tdwg.org/dwc/terms/version/SamplingLocationID-2008-11-19,2009-04-29,An identifier for the sampling location. May be a global unique identifier or an identifier specific to the data set.,Property,False,This term is no longer recommended for use.,
dwc:SamplingLocationRemarks,Sampling Location Remarks,http://rs.tdwg.org/dwc/terms/SamplingLocationRemarks,http://rs.tdwg.org/dwc/terms/version/SamplingLocationRemarks-2009-01-18,2009-04-29,Comments or notes about the sampling location.,Property,False,This term is no longer recommended for use.,
dwc:StartTimeOfDay,Start Time of Day,http://rs.tdwg.org/dwc/terms/StartTimeOfDay,http://rs.tdwg.org/dwc/terms/version/StartTimeOfDay-2008-11-19,2009-04-24,"The time of day when the event began, expressed as decimal hours from midnight, local time.",Property,False,This term is no longer recommended for use.,http://www.iobis.org/obis/StartTimeOfDay
dwc:Taxon,Taxon,http://rs.tdwg.org/dwc/terms/Taxon,http://rs.tdwg.org/dwc/terms/version/Taxon-2018-09-06,2018-09-06,A group of organisms (sensu http://purl.obolibrary.org/obo/OBI_0100026) considered by taxonomists to form a homogeneous unit.,Class,True,,
dwc:TaxonID,Taxon ID,http://rs.tdwg.org/dwc/terms/TaxonID,http://rs.tdwg.org/dwc/terms/version/TaxonID-2008-11-19,2009-04-24,A global unique identifier for the taxon (name in a classification).,Property,False,This term is no longer recommended for use.,
dwc:acceptedNameUsage,Accepted Name Usage,http://rs.tdwg.org/dwc/terms/acceptedNameUsage,http://rs.tdwg.org/dwc/terms/version/acceptedNameUsage-2023-06-28,2023-06-28,"The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) dwc:Taxon.",Property,True,,http://rs.tdwg.org/dwc/terms/acceptedScientificName
dwc:acceptedNameUsageID,Accepted Name Usage ID,http://rs.tdwg.org/dwc/terms/acceptedNameUsageID,http://rs.tdwg.org/dwc/terms/version/acceptedNameUsageID-2023-06-28,2023-06-28,An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.,Property,True,,http://rs.tdwg.org/dwc/terms/acceptedTaxonID
dwc:acceptedScientificName,Accepted Scientific Name,http://rs.tdwg.org/dwc/terms/acceptedScientificName,http://rs.tdwg.org/dwc/terms/version/acceptedScientificName-2009-07-06,2009-09-21,The currently valid (zoological) or accepted (botanical) name for the scientificName.,Property,False,This term is no longer recommended for use.,http://rs.tdwg.org/dwc/terms/acceptedTaxonName
dwc:acceptedScientificNameID,Accepted Scientific Name ID,http://rs.tdwg.org/dwc/terms/acceptedScientificNameID,http://rs.tdwg.org/dwc/terms/version/acceptedScientificNameID-2009-07-06,2009-08-24,A unique identifier for the acceptedScientificName.,Property,False,This term is no longer recommended for use.,http://rs.tdwg.org/dwc/terms/acceptedTaxonNameID
dwc:acceptedTaxonID,Accepted Taxon ID,http://rs.tdwg.org/dwc/terms/acceptedTaxonID,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonID-2009-08-24,2009-09-21,An identifier for the name of the currently valid (zoological) or accepted (botanical) taxon. See acceptedTaxon.,Property,False,This term is no longer recommended for use.,http://rs.tdwg.org/dwc/terms/acceptedScientificNameID
dwc:acceptedTaxonName,Accepted Taxon Name,http://rs.tdwg.org/dwc/terms/acceptedTaxonName,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonName-2009-04-24,2009-07-06,The currently valid (zoological) or accepted (botanical) name for the scientificName.,Property,False,This term is no longer recommended for use.,http://rs.tdwg.org/dwc/terms/AcceptedTaxon
dwc:acceptedTaxonNameID,Accepted Taxon Name ID,http://rs.tdwg.org/dwc/terms/acceptedTaxonNameID,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonNameID-2009-04-24,2009-07-06,A unique identifier for the acceptedTaxonName.,Property,False,This term is no longer recommended for use.,http://rs.tdwg.org/dwc/terms/AcceptedTaxonID
dwc:accordingTo,According To,http://rs.tdwg.org/dwc/terms/accordingTo,http://rs.tdwg.org/dwc/terms/version/accordingTo-2009-01-21,2020-08-06,Abstract term to attribute information to a source.,Property,False,This term is no longer recommended for use.,
dwc:accuracy,Accuracy,http://rs.tdwg.org/dwc/terms/accuracy,http://rs.tdwg.org/dwc/terms/version/accuracy-2009-01-21,2009-04-24,Abstract term to capture error information about a measurement or fact.,Property,False,This term is no longer recommended for use.,
dwc:associatedMedia,Associated Media,http://rs.tdwg.org/dwc/terms/associatedMedia,http://rs.tdwg.org/dwc/terms/version/associatedMedia-2023-06-28,2023-06-28,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the dwc:Occurrence.",Property,True,,http://rs.tdwg.org/dwc/dwcore/ImageURL
dwc:associatedOccurrences,Associated Occurrences,http://rs.tdwg.org/dwc/terms/associatedOccurrences,http://rs.tdwg.org/dwc/terms/version/associatedOccurrences-2023-06-28,2023-06-28,A list (concatenated and separated) of identifiers of other dwc:Occurrence records and their associations to this dwc:Occurrence.,Property,True,,http://rs.tdwg.org/dwc/curatorial/RelatedCatalogedItems
dwc:associatedOrganisms,Associated Organisms,http://rs.tdwg.org/dwc/terms/associatedOrganisms,http://rs.tdwg.org/dwc/terms/version/associatedOrganisms-2023-06-28,2023-06-28,A list (concatenated and separated) of identifiers of other dwc:Organisms and the associations of this dwc:Organism to each of them.,Property,True,,
dwc:associatedReferences,Associated References,http://rs.tdwg.org/dwc/terms/associatedReferences,http://rs.tdwg.org/dwc/terms/version/associatedReferences-2023-06-28,2023-06-28,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the dwc:Occurrence.",Property,True,,
dwc:associatedSequences,Associated Sequences,http://rs.tdwg.org/dwc/terms/associatedSequences,http://rs.tdwg.org/dwc/terms/version/associatedSequences-2023-06-28,2023-06-28,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of genetic sequence information associated with the dwc:Occurrence.",Property,True,,http://rs.tdwg.org/dwc/curatorial/GenBankNumber
dwc:associatedTaxa,Associated Taxa,http://rs.tdwg.org/dwc/terms/associatedTaxa,http://rs.tdwg.org/dwc/terms/version/associatedTaxa-2023-06-28,2023-06-28,A list (concatenated and separated) of identifiers or names of dwc:Taxon records and the associations of this dwc:Occurrence to each of them.,Property,True,,
dwc:basionym,Basionym,http://rs.tdwg.org/dwc/terms/basionym,http://rs.tdwg.org/dwc/terms/version/basionym-2009-04-24,2009-09-21,The basionym (botany) or basonym (bacteriology) of the scientificName.,Property,False,This term is no longer recommended for use.,
dwc:basionymID,Basionym ID,http://rs.tdwg.org/dwc/terms/basionymID,http://rs.tdwg.org/dwc/terms/version/basionymID-2009-04-24,2009-09-21,A unique identifier for the basionym (botany) or basonym (bacteriology) of the scientificName.,Property,False,This term is no longer recommended for use.,
dwc:basisOfRecord,Basis of Record,http://rs.tdwg.org/dwc/terms/basisOfRecord,http://rs.tdwg.org/dwc/terms/version/basisOfRecord-2023-06-28,2023-06-28,The specific nature of the data record.,Property,True,,http://rs.tdwg.org/dwc/dwcore/BasisOfRecord
dwc:bed,Bed,http://rs.tdwg.org/dwc/terms/bed,http://rs.tdwg.org/dwc/terms/version/bed-2017-10-06,2017-10-06,The full name of the lithostratigraphic bed from which the cataloged item was collected.,Property,True,,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/Bed
dwc:behavior,Behavior,http://rs.tdwg.org/dwc/terms/behavior,http://rs.tdwg.org/dwc/terms/version/behavior-2023-06-28,2023-06-28,The behavior shown by the subject at the time the dwc:Occurrence was recorded.,Property,True,,
dwc:binomial,Binomial,http://rs.tdwg.org/dwc/terms/binomial,http://rs.tdwg.org/dwc/terms/version/binomial-2008-11-19,2009-04-24,The combination of genus and first (species) epithet of the scientificName.,Property,False,This term is no longer recommended for use.,
dwc:caste,Caste,http://rs.tdwg.org/dwc/terms/caste,http://rs.tdwg.org/dwc/terms/version/caste-2023-06-28,2023-06-28,Categorisation of individuals for eusocial species (including some mammals and arthropods).,Property,True,,
dwc:catalogNumber,Catalog Number,http://rs.tdwg.org/dwc/terms/catalogNumber,http://rs.tdwg.org/dwc/terms/version/catalogNumber-2023-06-28,2023-06-28,An identifier (preferably unique) for the record within the data set or collection.,Property,True,,http://rs.tdwg.org/dwc/dwcore/CatalogNumber
dwc:class,Class,http://rs.tdwg.org/dwc/terms/class,http://rs.tdwg.org/dwc/terms/version/class-2023-06-28,2023-06-28,The full scientific name of the class in which the dwc:Taxon is classified.,Property,True,,http://rs.tdwg.org/dwc/dwcore/Class
dwc:collectionCode,Collection Code,http://rs.tdwg.org/dwc/terms/collectionCode,http://rs.tdwg.org/dwc/terms/version/collectionCode-2023-06-28,2023-06-28,"The name, acronym, coden, or initialism identifying the collection or data set from which the record was derived.",Property,True,,http://rs.tdwg.org/dwc/dwcore/CollectionCode
dwc:collectionID,Collection ID,http://rs.tdwg.org/dwc/terms/collectionID,http://rs.tdwg.org/dwc/terms/version/collectionID-2023-06-28,2023-06-28,An identifier for the collection or dataset from which the record was derived.,Property,True,,
dwc:continent,Continent,http://rs.tdwg.org/dwc/terms/continent,http://rs.tdwg.org/dwc/terms/version/continent-2023-06-28,2023-06-28,The name of the continent in which the dcterms:Location occurs.,Property,True,,http://rs.tdwg.org/dwc/dwcore/Continent
dwc:coordinatePrecision,Coordinate Precision,http://rs.tdwg.org/dwc/terms/coordinatePrecision,http://rs.tdwg.org/dwc/terms/version/coordinatePrecision-2023-06-28,2023-06-28,A decimal representation of the precision of the coordinates given in the dwc:decimalLatitude and dwc:decimalLongitude.,Property,True,,http://digir.net/schema/conceptual/darwin/2003/1.0/CoordinatePrecision
dwc:coordinateUncertaintyInMeters,Coordinate Uncertainty In Meters,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters,http://rs.tdwg.org/dwc/terms/version/coordinateUncertaintyInMeters-2023-06-28,2023-06-28,"The horizontal distance (in meters) from the given dwc:decimalLatitude and dwc:decimalLongitude describing the smallest circle containing the whole of the dcterms:Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term.",Property,True,,http://rs.tdwg.org/dwc/geospatial/CoordinateUncertaintyInMeters
dwc:country,Country,http://rs.tdwg.org/dwc/terms/country,http://rs.tdwg.org/dwc/terms/version/country-2023-06-28,2023-06-28,The name of the country or major administrative unit in which the dcterms:Location occurs.,Property,True,,http://rs.tdwg.org/dwc/dwcore/Country
dwc:countryCode,Country Code,http://rs.tdwg.org/dwc/terms/countryCode,http://rs.tdwg.org/dwc/terms/version/countryCode-2023-06-28,2023-06-28,The standard code for the country in which the dcterms:Location occurs.,Property,True,,
dwc:county,Second Order Division,http://rs.tdwg.org/dwc/terms/county,http://rs.tdwg.org/dwc/terms/version/county-2023-06-28,2023-06-28,"The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the dcterms:Location occurs.",Property,True,,http://rs.tdwg.org/dwc/dwcore/County
dwc:cultivarEpithet,Cultivar Epithet,http://rs.tdwg.org/dwc/terms/cultivarEpithet,http://rs.tdwg.org/dwc/terms/version/cultivarEpithet-2023-06-28,2023-06-28,"Part of the name of a cultivar, cultivar group or grex that follows the dwc:scientificName.",Property,True,,
dwc:dataGeneralizations,Data Generalizations,http://rs.tdwg.org/dwc/terms/dataGeneralizations,http://rs.tdwg.org/dwc/terms/version/dataGeneralizations-2023-06-28,2023-06-28,Actions taken to make the shared data less specific or complete than in its original form. Suggests that alternative data of higher quality may be available on request.,Property,True,,http://rs.tdwg.org/dwc/terms/Generalizations
dwc:datasetID,Dataset ID,http://rs.tdwg.org/dwc/terms/datasetID,http://rs.tdwg.org/dwc/terms/version/datasetID-2017-10-06,2017-10-06,An identifier for the set of data. May be a global unique identifier or an identifier specific to a collection or institution.,Property,True,,
dwc:datasetName,Dataset Name,http://rs.tdwg.org/dwc/terms/datasetName,http://rs.tdwg.org/dwc/terms/version/datasetName-2023-06-28,2023-06-28,The name identifying the data set from which the record was derived.,Property,True,,
dwc:dateIdentified,Date Identified,http://rs.tdwg.org/dwc/terms/dateIdentified,http://rs.tdwg.org/dwc/terms/version/dateIdentified-2023-06-28,2023-06-28,The date on which the subject was determined as representing the dwc:Taxon.,Property,True,,http://rs.tdwg.org/dwc/curatorial/DateIdentified
dwc:day,Day,http://rs.tdwg.org/dwc/terms/day,http://rs.tdwg.org/dwc/terms/version/day-2023-06-28,2023-06-28,The integer day of the month on which the dwc:Event occurred.,Property,True,,http://digir.net/schema/conceptual/darwin/2003/1.0/DayCollected
dwc:decimalLatitude,Decimal Latitude,http://rs.tdwg.org/dwc/terms/decimalLatitude,http://rs.tdwg.org/dwc/terms/version/decimalLatitude-2023-06-28,2023-06-28,"The geographic latitude (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum) of the geographic center of a dcterms:Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.",Property,True,,http://rs.tdwg.org/dwc/geospatial/DecimalLatitude
dwc:decimalLongitude,Decimal Longitude,http://rs.tdwg.org/dwc/terms/decimalLongitude,http://rs.tdwg.org/dwc/terms/version/decimalLongitude-2023-06-28,2023-06-28,"The geographic longitude (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum) of the geographic center of a dcterms:Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.",Property,True,,http://rs.tdwg.org/dwc/geospatial/DecimalLongitude
dwc:degreeOfEstablishment,Degree of Establishment,http://rs.tdwg.org/dwc/terms/degreeOfEstablishment,http://rs.tdwg.org/dwc/terms/version/degreeOfEstablishment-2023-06-28,2023-06-28,"The degree to which a dwc:Organism survives, reproduces, and expands its range at the given place and time.",Property,True,,
dwc:disposition,Disposition,http://rs.tdwg.org/dwc/terms/disposition,http://rs.tdwg.org/dwc/terms/version/disposition-2023-06-28,2023-06-28,The current state of a specimen with respect to the collection identified in dwc:collectionCode or dwc:collectionID.,Property,True,,http://rs.tdwg.org/dwc/curatorial/Disposition
dwc:dynamicProperties,Dynamic Properties,http://rs.tdwg.org/dwc/terms/dynamicProperties,http://rs.tdwg.org/dwc/terms/version/dynamicProperties-2023-06-28,2023-06-28,"A list of additional measurements, facts, characteristics, or assertions about the record. Meant to provide a mechanism for structured content.",Property,True,,http://rs.tdwg.org/dwc/dwcore/Attributes
dwc:earliestAgeOrLowestStage,Earliest Age Or Lowest Stage,http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage,http://rs.tdwg.org/dwc/terms/version/earliestAgeOrLowestStage-2023-06-28,2023-06-28,The full name of the earliest possible geochronologic age or lowest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected.,Property,True,,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/EarliestAgeOrLowestStage
dwc:earliestEonOrLowestEonothem,Earliest Eon Or Lowest Eonothem,http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem,http://rs.tdwg.org/dwc/terms/version/earliestEonOrLowestEonothem-2023-06-28,2023-06-28,"The full name of the earliest possible geochronologic eon or lowest chrono-stratigraphic eonothem or the informal name (""Precambrian"") attributable to the stratigraphic horizon from which the cataloged item was collected.",Property,True,,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/EarliestEonOrLowestEonothem
dwc:earliestEpochOrLowestSeries,Earliest Epoch Or Lowest Series,http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries,http://rs.tdwg.org/dwc/terms/version/earliestEpochOrLowestSeries-2023-06-28,2023-06-28,The full name of the earliest possible geochronologic epoch or lowest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.,Property,True,,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/EarliestEpochOrLowestSeries
dwc:earliestEraOrLowestErathem,Earliest Era Or Lowest Erathem,http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem,http://rs.tdwg.org/dwc/terms/version/earliestEraOrLowestErathem-2023-06-28,2023-06-28,The full name of the earliest possible geochronologic era or lowest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.,Property,True,,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/EarliestEraOrLowestErathem
dwc:earliestPeriodOrLowestSystem,Earliest Period Or Lowest System,http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem,http://rs.tdwg.org/dwc/terms/version/earliestPeriodOrLowestSystem-2023-06-28,2023-06-28,The full name of the earliest possible geochronologic period or lowest chronostratigraphic system attributable to the stratigraphic horizon from which the cataloged item was collected.,Property,True,,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/EarliestPeriodOrLowestSystem
dwc:endDayOfYear,End Day Of Year,http://rs.tdwg.org/dwc/terms/endDayOfYear,http://rs.tdwg.org/dwc/terms/version/endDayOfYear-2023-06-28,2023-06-28,"The latest integer day of the year on which the dwc:Event occurred (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366).",Property,True,,http://rs.tdwg.org/dwc/dwcore/DayOfYear
dwc:establishmentMeans,Establishment Means,http://rs.tdwg.org/dwc/terms/establishmentMeans,http://rs.tdwg.org/dwc/terms/version/establishmentMeans-2023-06-28,2023-06-28,Statement about whether a dwc:Organism has been introduced to a given place and time through the direct or indirect activity of modern humans.,Property,True,,
dwc:eventAttributes,Event Attributes,http://rs.tdwg.org/dwc/terms/eventAttributes,http://rs.tdwg.org/dwc/terms/version/eventAttributes-2009-04-24,2009-10-09,A list (concatenated and separated) of additional measurements or characteristics of the Event.,Property,False,This term is no longer recommended for use.,
dwc:eventDate,Event Date,http://rs.tdwg.org/dwc/terms/eventDate,http://rs.tdwg.org/dwc/terms/version/eventDate-2023-06-28,2023-06-28,"The date-time or interval during which a dwc:Event occurred. For occurrences, this is the date-time when the dwc:Event was recorded. Not suitable for a time in a geological context.",Property,True,,http://rs.tdwg.org/dwc/terms/LatestDateCollected
dwc:eventID,Event ID,http://rs.tdwg.org/dwc/terms/eventID,http://rs.tdwg.org/dwc/terms/version/eventID-2023-06-28,2023-06-28,An identifier for the set of information associated with a dwc:Event (something that occurs at a place and time). May be a global unique identifier or an identifier specific to the data set.,Property,True,,http://rs.tdwg.org/dwc/terms/SamplingEventID
dwc:eventMeasurementAccuracy,Event Measurement Accuracy,http://rs.tdwg.org/dwc/terms/eventMeasurementAccuracy,http://rs.tdwg.org/dwc/terms/version/eventMeasurementAccuracy-2009-04-24,2009-10-09,The description of the error associated with the EventAttributeValue.,Property,False,This term is no longer recommended for use.,http://rs.tdwg.org/dwc/terms/EventAttributeAccuracy
dwc:eventMeasurementDeterminedBy,Event Measurement Determined By,http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedBy,http://rs.tdwg.org/dwc/terms/version/eventMeasurementDeterminedBy-2009-04-24,2009-10-09,The agent responsible for having determined the value of the measurement or characteristic of the event.,Property,False,This term is no longer recommended for use.,http://rs.tdwg.org/dwc/terms/EventAttributeDeterminedBy
dwc:eventMeasurementDeterminedDate,Event Measurement Determined Date,http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedDate,http://rs.tdwg.org/dwc/terms/version/eventMeasurementDeterminedDate-2009-04-24,2009-10-09,"The date on which the the measurement or characteristic of the event was made. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).",Property,False,This term is no longer recommended for use.,http://rs.tdwg.org/dwc/terms/EventAttributeDeterminedDate
dwc:eventMeasurementID,Event Measurement ID,http://rs.tdwg.org/dwc/terms/eventMeasurementID,http://rs.tdwg.org/dwc/terms/version/eventMeasurementID-2009-04-24,2009-10-09,An identifier for the event attribute. May be a global unique identifier or an identifier specific to the data set.,Property,False,This term is no longer recommended for use.,http://rs.tdwg.org/dwc/terms/EventAttributeID
dwc:eventMeasurementRemarks,Event Measurement Remarks,http://rs.tdwg.org/dwc/terms/eventMeasurementRemarks,http://rs.tdwg.org/dwc/terms/version/eventMeasurementRemarks-2009-04-24,2009-10-09,Comments or notes accompanying the measurement or characteristic of the event.,Property,False,This term is no longer recommended for use.,
dwc:eventMeasurementType,Event Measurement Type,http://rs.tdwg.org/dwc/terms/eventMeasurementType,http://rs.tdwg.org/dwc/terms/version/eventMeasurementType-2009-04-24,2009-10-09,The nature of the measurement or characteristic of the event. Recommended best practice is to use a controlled vocabulary.,Property,False,This term is no longer recommended for use.,http://rs.tdwg.org/dwc/terms/EventAttributeType
dwc:eventMeasurementUnit,Event Measurement Unit,http://rs.tdwg.org/dwc/terms/eventMeasurementUnit,http://rs.tdwg.org/dwc/terms/version/eventMeasurementUnit-2009-04-24,2009-10-09,The units for the value of the measurement or characteristic of the event. Recommended best practice is to use International System of Units (SI) units.,Property,False,This term is no longer recommended for use.,http://rs.tdwg.org/dwc/terms/EventAttributeUnit
dwc:eventMeasurementValue,Event Measurement Value,http://rs.tdwg.org/dwc/terms/eventMeasurementValue,http://rs.tdwg.org/dwc/terms/version/eventMeasurementValue-2009-04-24,2009-10-09,The value of the measurement or characteristic of the event.,Property,False,This term is no longer recommended for use.,http://rs.tdwg.org/dwc/terms/EventAttributeValue
dwc:eventRemarks,Event Remarks,http://rs.tdwg.org/dwc/terms/eventRemarks,http://rs.tdwg.org/dwc/terms/version/eventRemarks-2023-06-28,2023-06-28,Comments or notes about the dwc:Event.,Property,True,Type:,
dwc:eventTime,Event Time,http://rs.tdwg.org/dwc/terms/eventTime,http://rs.tdwg.org/dwc/terms/version/eventTime-2023-06-28,2023-06-28,The time or interval during which a dwc:Event occurred.,Property,True,,http://rs.tdwg.org/dwc/terms/StartTimeOfDay
dwc:eventType,Event Type,http://rs.tdwg.org/dwc/terms/eventType,http://rs.tdwg.org/dwc/terms/version/eventType-2023-06-28,2023-06-28,The nature of the dwc:Event.,Property,True,,
dwc:family,Family,http://rs.tdwg.org/dwc/terms/family,http://rs.tdwg.org/dwc/terms/version/family-2023-06-28,2023-06-28,The full scientific name of the family in which the dwc:Taxon is classified.,Property,True,,http://rs.tdwg.org/dwc/dwcore/Family
dwc:fieldNotes,Field Notes,http://rs.tdwg.org/dwc/terms/fieldNotes,http://rs.tdwg.org/dwc/terms/version/fieldNotes-2023-06-28,2023-06-28,"One of a) an indicator of the existence of, b) a reference to (publication, URI), or c) the text of notes taken in the field about the dwc:Event.",Property,True,Type:,http://rs.tdwg.org/dwc/curatorial/FieldNotes
dwc:fieldNumber,Field Number,http://rs.tdwg.org/dwc/terms/fieldNumber,http://rs.tdwg.org/dwc/terms/version/fieldNumber-2023-06-28,2023-06-28,An identifier given to the dwc:Event in the field. Often serves as a link between field notes and the dwc:Event.,Property,True,Type:,http://rs.tdwg.org/dwc/curatorial/FieldNumber
dwc:footprintSRS,Footprint SRS,http://rs.tdwg.org/dwc/terms/footprintSRS,http://rs.tdwg.org/dwc/terms/version/footprintSRS-2023-06-28,2023-06-28,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geometry given in dwc:footprintWKT is based.",Property,True,,
dwc:footprintSpatialFit,Footprint Spatial Fit,http://rs.tdwg.org/dwc/terms/footprintSpatialFit,http://rs.tdwg.org/dwc/terms/version/footprintSpatialFit-2023-06-28,2023-06-28,"The ratio of the area of the dwc:footprintWKT to the area of the true (original, or most specific) spatial representation of the dcterms:Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given dwc:footprintWKT does not completely contain the original representation. The dwc:footprintSpatialFit is undefined (and should be left empty) if the original representation is any geometry without area (e.g., a point or polyline) and without uncertainty and the given georeference is not that same geometry (without uncertainty). If both the original and the given georeference are the same point, the dwc:footprintSpatialFit is 1.",Property,Type:,,http://rs.tdwg.org/dwc/geospatial/FootprintSpatialFit
dwc:footprintWKT,Footprint WKT,http://rs.tdwg.org/dwc/terms/footprintWKT,http://rs.tdwg.org/dwc/terms/version/footprintWKT-2023-06-28,2023-06-28,"A Well-Known Text (WKT) representation of the shape (footprint, geometry) that defines the dcterms:Location. A dcterms:Location may have both a point-radius representation (see dwc:decimalLatitude) and a footprint representation, and they may differ from each other.",Property,True,,http://rs.tdwg.org/dwc/geospatial/FootprintWKT
